Date,Description,Amount,Type
2024-01-03,Supermarket Groceries,-45.50,expense
2024-01-07,Salary Deposit,2500.00,income
2024-01-09,Electricity Bill,-78.20,expense
2024-01-13,Coffee Shop,-4.75,expense
2024-01-15,Amazon Purchase,-89.99,expense
2024-01-19,Gym Membership,-35.00,expense
2024-01-21,Restaurant Dinner,-62.40,expense
2024-02-02,Salary Deposit,2500.00,income
2024-02-06,Netflix Subscription,-15.99,expense
2024-02-10,Coffee Shop,-5.20,expense
2024-02-14,Valentine Dinner,-95.00,expense
2024-02-18,Freelance Payment,200.00,income
2024-02-20,Supermarket Groceries,-61.30,expense
2024-02-24,Internet Bill,-55.00,expense